Boeing Model 40	Boeing aircraft
José María Sole Chavero	Living people, 1969 births, Spanish Paralympic bronze medalists, Spanish wheelchair basketball players, 1996 Summer Paralympics, 1 point player, People from Catalonia
Jesús Torres Fernández	Living people, 1960 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, Spanish wheelchair basketball players, 2 point player, Sportspeople from Madrid
Edward Coles	1786 births, 1868 deaths, Deaths from natural causes, Governors of Illinois, Politicians from Virginia, Independent politicians in the United States
Richard B. Ogilvie	1923 births, 1988 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Chicago, Burials at Rosehill Cemetery, Governors of Illinois, Politicians from Kansas City, Missouri, US Republican Party politicians, American Presbyterians, American military personnel of World War II, American lawyers, Politicians from Chicago, Purple Heart recipients, Yale University alumni
Samuel H. Shapiro	1907 births, 1987 deaths, Deaths from myocardial infarction, Governors of Illinois, Lieutenant Governors of Illinois, US Democratic Party politicians
List of governors of Illinois	Governors of Illinois, Lists of politicians from the United States
Luís Bullido Arroyo	Spanish athletes, Living people, 1978 births, Spanish Paralympic silver medalists, People from Madrid, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, Sportspeople with disabilities, type B1, Sportspeople with disabilities, type T11
Cesar Carlavilla Cubillo	Spanish athletes, Living people, 1977 births, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, Sportspeople from Madrid, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type B2, Sportspeople with disabilities, type T12
Francisca Bazalo Gallego	Spanish fencers, Living people, 1962 births, Spanish Paralympic bronze medalists, 1992 Summer Paralympics, 1996 Summer Paralympics, 2000 Summer Paralympics, People from Malaga, Sportspeople from Andalusia
Ana Belen Bernardo Zamora	Spanish swimmers, Living people, 1976 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, People from Asturias, Sportspeople with disabilities, type S10
Luisa Regina Cachan Muñoz	Spanish swimmers, Living people, 1979 births, Spanish Paralympic silver medalists, 1992 Summer Paralympics, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, Sportspeople with disabilities, type S4
Kidnapping of Jaycee Lee Dugard	1991 in California, 2009 in California, 1990s crimes in California, June events, Kidnapped American people
Cyclone Sidr	Tropical cyclones in Asia, 2007 in weather, Cyclonic storms, 21st century in Bangladesh, 2007 in Asia, November events
The New Art Gallery Walsall	Art museums in the United Kingdom, Museums in England, 2000 establishments in England
Waltz (music)	Waltzes
Monocle	Optics
Martha Nussbaum	1947 births, Living people, 20th century philosophers, 21st century philosophers, American feminist writers, American philosophers, Converts to Judaism, Harvard University alumni, Jewish American academics, Jewish American scientists, Jewish American writers, Jewish feminists, Jewish philosophers, New York University alumni, Scientists from New York City, Writers from New York City
Tom's Diner	1990 songs, Pop songs
Chinese Rail DF4	Co-Co locomotives, Locomotives of China
Bruce Cabot	1904 births, 1972 deaths, Actors who played in James Bond movies, American movie actors, Deaths from cancer
Robert Armstrong (actor)	1890 births, 1973 deaths, American movie actors, American television actors, Actors from Michigan, People from Saginaw, Michigan, Cancer deaths in California
Google Books	Google
GNU Affero General Public License	Software licences
Chinese Rail DF4B	Co-Co locomotives, Locomotives of China
Willis O'Brien	Academy Award winners, American filmmakers, 1886 births, 1963 deaths
Mighty Joe Young	American adventure movies, American horror movies, English-language movies, Giant gorilla movies, Monster movies, 1949 movies
The Son of Kong	American adventure movies, American horror movies, English-language movies, Giant gorilla movies, Monster movies, 1934 movies, Jungle movies, Sequel movies, 1930s horror movies, 1930s adventure movies, King Kong
King Kong (1976 movie)	1976 horror movies, 1970s adventure movies, American adventure movies, American horror movies, American monster movies, American movie remakes, English-language movies, Giant gorilla movies, Jungle movies, Movies set in islands, Movies set in Asia, Movies set in New York City, King Kong, Movies directed by John Guillermin, Paramount movies
King Kong (2005 movie)	2005 horror movies, 2000s adventure movies, American adventure movies, American monster movies, American movie remakes, New Zealand movies, German movies, English-language movies, Giant gorilla movies, Jungle movies, Movies about dinosaurs, Movies set in Asia, Movies set in islands, Movies set in Manhattan, Movies set in the 1930s, Movies directed by Peter Jackson, Movies that won the Best Visual Effects Academy Award, King Kong, Universal Pictures movies
Nabonga	American adventure movies, American horror movies, English-language movies, Giant gorilla movies, Monster movies, 1943 movies, Jungle movies
Buster Crabbe	1908 births, 1983 deaths, Deaths from myocardial infarction, American movie actors, American Olympic bronze medalists, American Olympic gold medalists, American swimmers, American television actors, Movie serial actors, Actors from Oakland, California
Jo Benkow	1924 births, 2013 deaths, Conservatives, Deaths from natural causes, Norwegian politicians, People from Trondheim
Marcheline Bertrand	1950 births, 2007 deaths, Deaths from ovarian cancer, American movie actors, American television actors, American television producers, American activists, Movie producers from Illinois, Actors from Illinois
In Bruges	2008 comedy-drama movies, 2008 crime movies, 2000s black comedy movies, 2000s buddy movies, 2000s crime drama movies, 2000s criminal comedy movies, American comedy-drama movies, American crime drama movies, American criminal comedy movies, BAFTA Award winning movies, British comedy-drama movies, British crime drama movies, British criminal comedy movies, Bruges, English-language movies, French-language movies, Golden Globe Award winning movies, Universal Pictures
My Left Foot (movie)	1980s biographical movies, 1989 drama movies, English-language movies, Irish movies, Movies directed by Jim Sheridan
Oz the Great and Powerful	2013 movies, American fantasy movies, American adventure movies, American action movies, Movies based on books, Movies directed by Sam Raimi, English-language movies
White House Down	2013 action movies, 2013 thriller movies, 2010s action thriller movies, American action thriller movies, English-language movies, Movies directed by Roland Emmerich, Movies set in Washington, D.C.
21 Jump Street (movie)	2012 buddy movies, 2012 comedy movies, 2012 crime movies, 2010s action comedy movies, 2010s criminal comedy movies, American action comedy movies, American buddy movies, American criminal comedy movies, Buddy action movies, Buddy comedy movies, Buddy cop movies, English-language movies, Movies about drugs, Movies based on TV series, Proms in movies, American high school movies, American satirical movies, Columbia Pictures movies, MGM movies, Movies about police officers, Police comedy movies, Teen movies
Our Lady of China	Marian apparitions, Religion in China
Francis Cooke	1580s births, 1663 deaths, Mayflower passengers
Pandeism	Theology
Sergei Bagapsh	1949 births, 2011 deaths, Deaths from heart failure, Deaths from surgical complications, People with cancer, Presidents of Abkhazia, Prime Ministers of Abkhazia
Ryūnosuke Akutagawa	1892 births, 1927 deaths, People who committed suicide, Writers from Tokyo
Awakenings	1990 drama movies, American drama movies, English-language movies, Movies based on books, Movies based on real life events, Movies set in the 1960s, The Bronx, Columbia Pictures movies, Movies directed by Penny Marshall
Oliver Sacks	1933 births, 2015 deaths, British LGBT people, Cancer deaths in New York City, Deaths from liver cancer, Deaths from melanoma, Gay Jews, Jewish British academics, Jewish British scientists, Jewish British writers, LGBT academics, LGBT scientists, LGBT writers, Neurologists, Scientists from London, Writers from London
INS Dakar Memorial	Monuments and memorials in Mount Herzl, Military monuments and memorials in Israel
Museum of London	Museums in London, 1976 establishments in the United Kingdom
SS Erinpura Memorial	Mandatory Palestine, Monuments and memorials in Mount Herzl, Military monuments and memorials in Israel
Charles River	Boston, Massachusetts, Rivers of the United States
FaceTime	Apple software
Captain Gallant of the Foreign Legion	1950s television series
20th-century philosophy	Philosophy
Operation Boatswain Memorial	Mandatory Palestine, Monuments and memorials in Mount Herzl, Military monuments and memorials in Israel
Buck Rogers	Fictional characters
Flash Gordon (movie serial)	English-language movies, Flash Gordon movies, Movie serials, 1936 movies, 1930s science fiction movies
Fuzzy Knight	American movie actors, American television actors, 1901 births, 1976 deaths
Charles B. Middleton	American stage actors, Movie serial actors, American movie actors, Deaths from myocardial infarction, 1874 births, 1949 deaths
William Salyers	1964 births, Living people, American movie actors, American television actors, American voice actors, People from Santa Fe, New Mexico, Actors from Oklahoma, Actors from New Mexico
Ming the Merciless	Fictional characters, Galactic emperors, Flash Gordon
Joel Aldrich Matteson	1808 births, 1873 deaths, Deaths from pneumonia, Governors of Illinois, Politicians from New York, US Democratic Party politicians
